c Вес дерева = 141492, число листьев = 53,
c число вершин и ребер
p edge 2018 2017
c ребра
e 152 1795
e 152 1913
e 1913 569
e 569 654
e 654 63
e 63 1363
e 1363 1540
e 1363 850
e 850 1353
e 1353 776
e 776 275
e 275 1223
e 1223 1368
e 1368 1270
e 1270 1340
e 1340 1314
e 1314 1706
e 1706 842
e 842 86
e 86 1890
e 1890 1335
e 1335 1058
e 1058 581
e 1913 1873
e 1873 1206
e 1206 557
e 557 1567
e 1567 1652
e 1652 1101
e 1101 1888
e 1888 720
e 720 1634
e 1634 1020
e 1020 1867
e 1867 36
e 36 355
e 355 418
e 418 1717
e 1717 832
e 832 156
e 156 1590
e 1590 1256
e 1256 745
e 745 1976
e 1976 535
e 1652 203
e 203 731
e 731 518
e 518 1468
e 1468 1236
e 1236 2003
e 2003 1903
e 1903 954
e 954 894
e 894 1095
e 1095 521
e 521 663
e 663 1189
e 1189 1721
e 1721 520
e 520 628
e 628 445
e 445 985
e 985 1449
e 1567 104
e 104 591
e 591 1942
e 1942 39
e 39 979
e 979 226
e 226 1880
e 1880 1333
e 1333 1963
e 1963 1094
e 1094 1055
e 1055 925
e 925 1764
e 1764 60
e 60 1067
e 1067 127
e 127 964
e 964 192
e 192 1030
e 104 1284
e 1284 1123
e 1123 951
e 951 1734
e 1734 991
e 991 1219
e 1219 625
e 625 1834
e 1834 1992
e 1992 149
e 149 969
e 969 1379
e 1379 1190
e 1190 1152
e 1152 1406
e 1406 395
e 395 1865
e 1865 1529
e 557 262
e 262 1286
e 1286 1448
e 1448 1258
e 1258 119
e 119 1012
e 1012 1562
e 1562 582
e 582 1982
e 1982 933
e 933 1081
e 1081 647
e 647 867
e 867 509
e 509 781
e 781 427
e 427 1338
e 1338 752
e 752 190
e 190 864
e 864 1300
e 1286 1052
e 1052 1892
e 1892 1769
e 1769 1464
e 1464 144
e 144 1417
e 1417 58
e 58 1642
e 1642 791
e 791 844
e 844 984
e 984 1815
e 1815 777
e 777 1480
e 1480 245
e 245 1759
e 1759 69
e 69 1347
e 1347 1987
e 1987 843
e 843 1689
e 1689 574
e 574 1597
e 262 424
e 424 853
e 853 134
e 134 1196
e 1196 1440
e 1440 753
e 753 330
e 330 1656
e 1656 1606
e 1606 1988
e 1988 1103
e 1103 139
e 139 542
e 542 1609
e 1609 1591
e 1591 208
e 208 624
e 624 1003
e 1003 162
e 162 466
e 466 839
e 839 1762
e 1762 622
e 622 1784
