c Вес дерева = 64592, число листьев = 96,
c число вершин и ребер
p edge 1000 999
c ребра
e 465 964
e 964 36
e 36 179
e 179 476
e 476 847
e 847 315
e 315 335
e 335 408
e 408 278
e 278 230
e 230 143
e 143 372
e 372 316
e 316 564
e 564 216
e 216 951
e 847 914
e 914 651
e 651 656
e 656 298
e 298 638
e 638 748
e 748 257
e 476 198
e 198 868
e 868 270
e 270 899
e 899 758
e 758 417
e 417 710
e 198 759
e 759 73
e 73 939
e 939 193
e 193 595
e 595 535
e 535 547
e 547 898
e 179 982
e 982 733
e 733 399
e 399 294
e 294 510
e 510 327
e 327 835
e 835 422
e 422 55
e 55 50
e 50 824
e 824 225
e 225 969
e 733 990
e 990 625
e 625 466
e 466 406
e 406 173
e 173 565
e 565 81
e 81 166
e 166 572
e 572 301
e 301 785
e 982 989
e 989 957
e 957 678
e 678 819
e 819 458
e 458 936
e 936 689
e 989 456
e 456 649
e 649 971
e 971 201
e 201 303
e 303 932
e 932 333
e 333 86
e 86 277
e 277 650
e 650 512
e 512 530
e 530 821
e 36 189
e 189 755
e 755 78
e 78 98
e 98 473
e 473 309
e 309 757
e 757 517
e 517 135
e 135 237
e 237 701
e 701 180
e 180 829
e 829 632
e 632 361
e 361 217
e 217 113
e 113 186
e 186 713
e 713 199
e 199 614
e 614 281
e 281 255
e 255 290
e 290 376
e 78 891
e 891 469
e 469 319
e 319 142
e 142 875
e 875 429
e 429 558
e 558 234
e 234 317
e 317 908
e 908 680
e 680 431
e 755 87
e 87 377
e 377 643
e 643 254
e 254 396
e 396 467
e 467 503
e 503 722
e 722 725
e 725 170
e 170 477
e 477 5
e 5 538
e 87 93
e 93 843
e 843 959
e 959 968
e 968 857
e 857 427
e 427 35
e 35 25
e 25 167
e 167 393
e 393 532
e 532 954
e 954 747
e 747 974
e 974 385
e 385 174
e 174 832
e 189 575
e 575 723
e 723 851
e 851 343
e 343 161
e 161 410
e 410 443
e 443 694
e 694 987
e 987 114
e 114 359
e 359 608
e 608 721
e 723 691
e 691 756
e 756 209
e 209 531
e 531 432
e 432 19
e 19 487
e 487 635
e 635 60
e 60 617
e 575 127
e 127 326
e 326 424
e 424 665
e 665 325
e 325 236
e 236 489
e 489 905
e 905 610
e 610 529
e 529 801
e 801 740
e 740 779
e 779 337
e 127 70
e 70 728
e 728 917
e 917 229
e 229 61
e 61 77
e 77 485
e 485 658
e 658 400
e 400 671
e 964 763
e 763 287
e 287 4
e 4 501
e 501 274
e 274 839
e 839 136
e 136 918
e 918 743
e 743 95
e 95 893
e 893 742
e 742 26
e 26 72
e 501 258
e 258 935
e 935 259
e 259 505
e 505 17
e 17 771
e 771 266
e 266 729
e 4 690
e 690 577
e 577 226
e 226 500
e 500 823
e 823 692
e 692 913
e 913 537
e 537 62
e 62 979
e 979 641
e 690 732
e 732 892
e 892 350
e 350 69
e 69 109
e 109 736
e 287 121
e 121 37
e 37 112
e 112 831
e 831 849
e 849 314
e 314 353
e 353 451
e 451 705
e 705 194
e 37 667
e 667 673
e 673 436
e 436 881
e 881 836
e 836 457
e 121 39
e 39 594
e 594 634
e 634 388
e 388 655
e 655 163
e 163 802
e 802 582
e 39 421
e 421 191
e 191 553
e 553 28
e 28 481
e 481 249
e 763 305
e 305 447
e 447 842
e 842 956
e 956 578
e 578 107
e 107 446
e 446 147
e 147 794
e 794 288
e 288 285
e 285 463
e 463 995
e 995 599
e 842 172
e 172 22
e 22 702
e 702 430
e 430 963
e 963 365
e 365 746
e 447 11
e 11 382
e 382 876
e 876 483
e 483 445
e 445 927
e 927 91
e 91 618
e 618 865
e 865 541
e 541 412
e 11 622
e 622 679
e 679 120
e 120 546
e 546 153
e 153 952
e 952 780
e 780 735
e 735 439
e 439 808
e 305 203
e 203 119
e 119 675
e 675 82
e 82 852
e 852 589
e 589 284
e 284 214
e 214 791
e 791 687
e 119 850
e 850 295
e 295 569
e 569 460
e 460 943
e 943 375
e 375 21
e 21 795
e 795 576
e 576 919
e 919 118
e 118 874
e 203 330
e 330 349
e 349 497
e 497 280
e 280 707
e 707 522
e 522 924
e 924 616
e 616 950
e 330 397
e 397 621
e 621 549
e 549 425
e 425 593
e 593 392
e 392 41
e 41 395
e 395 769
e 769 2
e 2 762
e 762 815
e 815 7
e 465 160
e 160 293
e 293 123
e 123 520
e 520 65
e 65 509
e 509 677
e 677 56
e 56 206
e 206 724
e 724 628
e 628 911
e 911 486
e 486 548
e 548 870
e 65 268
e 268 693
e 693 630
e 630 670
e 670 18
e 18 213
e 213 267
e 267 418
e 418 806
e 806 195
e 195 165
e 520 222
e 222 978
e 978 364
e 364 931
e 931 442
e 442 872
e 872 1000
e 1000 708
e 708 244
e 244 583
e 583 80
e 80 464
e 464 942
e 942 644
e 644 923
e 923 826
e 222 513
e 513 652
e 652 506
e 506 767
e 767 753
e 753 922
e 922 479
e 479 585
e 585 902
e 902 452
e 452 526
e 123 459
e 459 714
e 714 624
e 624 786
e 786 74
e 74 100
e 100 961
e 961 845
e 845 218
e 218 140
e 140 387
e 387 53
e 53 282
e 282 854
e 854 820
e 820 907
e 907 124
e 124 878
e 878 341
e 714 106
e 106 938
e 938 712
e 712 272
e 272 566
e 566 379
e 379 188
e 188 871
e 871 521
e 459 354
e 354 355
e 355 629
e 629 250
e 250 154
e 154 838
e 838 383
e 383 846
e 846 760
e 354 894
e 894 830
e 830 906
e 906 636
e 636 787
e 787 221
e 221 66
e 66 318
e 318 238
e 293 666
e 666 685
e 685 252
e 252 764
e 764 598
e 598 797
e 797 407
e 407 812
e 812 784
e 784 739
e 739 861
e 861 904
e 252 822
e 822 934
e 934 858
e 858 811
e 811 110
e 110 275
e 275 251
e 685 788
e 788 332
e 332 863
e 863 152
e 152 977
e 977 435
e 435 796
e 796 860
e 860 381
e 788 181
e 181 560
e 560 104
e 104 102
e 102 798
e 798 283
e 283 196
e 196 187
e 187 402
e 402 508
e 666 684
e 684 539
e 539 470
e 470 750
e 750 157
e 157 20
e 20 776
e 776 761
e 539 235
e 235 145
e 145 367
e 367 38
e 38 790
e 790 804
e 804 158
e 158 592
e 592 241
e 241 716
e 684 125
e 125 390
e 390 805
e 805 765
e 765 311
e 311 51
e 51 14
e 14 64
e 125 584
e 584 947
e 947 772
e 772 344
e 344 202
e 202 941
e 941 260
e 260 398
e 398 516
e 160 543
e 543 766
e 766 709
e 709 556
e 556 45
e 45 13
e 13 49
e 49 782
e 782 115
e 115 15
e 15 96
e 96 339
e 556 370
e 370 1
e 1 449
e 449 681
e 681 645
e 645 58
e 58 960
e 709 461
e 461 958
e 958 606
e 606 263
e 263 603
e 603 362
e 461 207
e 207 27
e 27 297
e 297 803
e 803 474
e 474 59
e 766 212
e 212 63
e 63 507
e 507 137
e 137 962
e 962 778
e 778 472
e 472 574
e 574 571
e 571 204
e 63 696
e 696 455
e 455 662
e 662 269
e 269 744
e 744 24
e 24 775
e 212 129
e 129 462
e 462 570
e 570 105
e 105 637
e 637 697
e 697 450
e 450 484
e 484 597
e 597 340
e 340 491
e 129 182
e 182 44
e 44 141
e 141 256
e 256 404
e 404 54
e 54 928
e 928 586
e 586 134
e 134 910
e 910 601
e 601 654
e 654 168
e 168 328
e 328 117
e 543 336
e 336 441
e 441 579
e 579 411
e 411 627
e 627 85
e 85 731
e 731 883
e 883 777
e 777 159
e 159 200
e 579 698
e 698 515
e 515 590
e 590 151
e 151 718
e 718 770
e 770 363
e 363 273
e 273 369
e 369 921
e 921 128
e 128 588
e 588 998
e 441 837
e 837 703
e 703 358
e 358 210
e 210 493
e 493 111
e 111 131
e 131 996
e 996 215
e 215 591
e 591 248
e 248 12
e 12 448
e 448 144
e 144 734
e 734 374
e 374 953
e 953 499
e 837 478
e 478 310
e 310 261
e 261 347
e 347 920
e 920 231
e 231 604
e 604 351
e 351 653
e 653 46
e 46 32
e 336 751
e 751 827
e 827 346
e 346 955
e 955 672
e 672 156
e 156 882
e 882 419
e 419 6
e 6 816
e 816 828
e 828 992
e 992 866
e 827 596
e 596 324
e 324 561
e 561 741
e 741 420
e 420 587
e 587 307
e 307 366
e 366 433
e 433 239
e 239 440
e 440 609
e 609 176
e 176 514
e 751 171
e 171 416
e 416 688
e 688 423
e 423 890
e 890 183
e 183 611
e 611 76
e 171 83
e 83 909
e 909 754
e 754 495
e 495 884
e 884 600
e 600 92
e 92 738
e 465 208
e 208 394
e 394 984
e 984 633
e 633 403
e 403 533
e 533 84
e 84 149
e 149 405
e 405 291
e 291 552
e 552 415
e 415 809
e 809 527
e 527 146
e 403 233
e 233 940
e 940 944
e 633 482
e 482 57
e 57 518
e 518 813
e 813 726
e 726 384
e 384 615
e 615 660
e 660 783
e 783 345
e 345 916
e 482 930
e 930 3
e 3 567
e 567 279
e 279 686
e 686 542
e 542 711
e 984 322
e 322 232
e 232 175
e 175 192
e 192 896
e 896 873
e 873 903
e 903 360
e 360 116
e 116 227
e 227 912
e 232 885
e 885 302
e 302 276
e 276 264
e 264 949
e 322 818
e 818 929
e 929 807
e 807 426
e 426 386
e 386 162
e 162 663
e 818 981
e 981 562
e 562 993
e 993 568
e 568 240
e 240 40
e 40 356
e 394 749
e 749 897
e 897 380
e 380 607
e 607 33
e 33 841
e 841 468
e 468 338
e 380 414
e 414 895
e 895 994
e 994 810
e 810 296
e 296 544
e 544 219
e 219 101
e 101 668
e 668 29
e 897 308
e 308 371
e 371 271
e 271 178
e 178 368
e 368 321
e 321 551
e 551 223
e 308 825
e 825 695
e 695 30
e 30 133
e 133 496
e 749 108
e 108 834
e 834 289
e 289 937
e 937 980
e 980 926
e 926 519
e 834 639
e 639 605
e 605 682
e 682 97
e 97 999
e 999 648
e 648 717
e 717 683
e 683 164
e 108 669
e 669 228
e 228 536
e 536 150
e 150 31
e 31 925
e 925 348
e 669 856
e 856 559
e 559 973
e 973 859
e 859 983
e 983 967
e 967 523
e 523 132
e 132 715
e 715 246
e 246 657
e 657 48
e 48 789
e 789 47
e 47 887
e 887 177
e 177 888
e 888 524
e 208 862
e 862 389
e 389 342
e 342 88
e 88 16
e 16 122
e 122 800
e 800 329
e 329 428
e 428 706
e 706 320
e 320 490
e 490 99
e 99 243
e 243 409
e 409 498
e 498 331
e 331 581
e 88 391
e 391 300
e 300 94
e 94 242
e 242 626
e 626 965
e 965 190
e 190 8
e 8 814
e 814 9
e 9 454
e 454 42
e 42 719
e 342 773
e 773 997
e 997 528
e 528 475
e 475 988
e 988 620
e 620 768
e 768 880
e 880 126
e 773 889
e 889 844
e 844 525
e 525 840
e 840 352
e 352 130
e 130 75
e 75 138
e 138 848
e 848 34
e 34 437
e 437 727
e 727 720
e 720 79
e 79 139
e 389 67
e 67 265
e 265 970
e 970 933
e 933 357
e 357 10
e 10 901
e 901 676
e 676 817
e 817 540
e 540 444
e 444 573
e 265 334
e 334 253
e 253 373
e 373 43
e 43 647
e 647 900
e 900 185
e 185 197
e 197 304
e 304 224
e 224 877
e 877 494
e 494 71
e 71 148
e 67 646
e 646 90
e 90 292
e 292 169
e 169 613
e 613 752
e 752 704
e 704 774
e 774 661
e 661 781
e 781 700
e 700 886
e 886 946
e 946 619
e 619 52
e 646 378
e 378 640
e 640 642
e 642 737
e 737 220
e 220 612
e 612 580
e 580 986
e 986 312
e 312 323
e 862 864
e 864 554
e 554 438
e 438 948
e 948 488
e 488 745
e 745 413
e 413 975
e 438 945
e 945 879
e 879 631
e 631 545
e 545 23
e 23 966
e 554 262
e 262 853
e 853 89
e 89 623
e 623 511
e 511 550
e 550 247
e 247 985
e 985 557
e 557 991
e 991 471
e 262 793
e 793 972
e 972 730
e 730 833
e 833 915
e 915 869
e 864 555
e 555 155
e 155 286
e 286 401
e 401 68
e 68 434
e 434 299
e 299 976
e 976 245
e 245 664
e 664 699
e 699 492
e 492 534
e 534 659
e 155 211
e 211 799
e 799 313
e 313 184
e 555 855
e 855 306
e 306 674
e 674 563
e 563 602
e 602 792
e 855 453
e 453 504
e 504 502
e 502 103
e 103 480
e 480 205
e 205 867
0 1839
e 1839 1050
e 1050 1223
e 1223 1637
e 1637 1872
e 1872 1741
e 1741 1774
e 1774 409
e 409 1901
e 1901 1654
e 1654 201
e 201 1941
e 1941 1313
e 1313 1462
e 1462 758
e 758 1715
e 1715 185
e 185 1029
e 1029 2010
e 2010 666
e 666 1323
e 1323 258
e 258 797
e 797 735
e 735 166
e 166 359
e 359 897
e 897 760
e 760 20
e 20 1498
e 1498 1426
e 1426 7
e 7 1807
e 1807 598
e 598 458
e 458 158
e 158 1471
e 1471 705
e 705 381
e 381 1623
e 1623 1430
e 1430 304
e 304 351
e 351 178
e 178 998
e 1378 1472
e 1472 1561
e 1561 1466
e 1466 477
e 477 727
e 727 804
e 804 630
e 630 733
e 733 1683
e 1683 1858
e 1858 2012
e 2012 1848
e 1848 1277
e 1277 1935
e 1935 677
e 677 2001
e 2001 1204
e 1204 1163
e 1163 426
e 426 505
e 505 578
e 578 1015
e 1015 1895
e 1895 291
e 291 1641
e 1641 1154
e 1154 497
e 497 1841
e 1841 1731
e 1731 242
e 242 294
e 294 333
e 333 529
e 529 873
e 873 54
e 54 1193
e 1193 1587
e 1587 1360
e 1360 911
e 911 547
e 547 1160
e 1160 737
e 737 1671
e 1671 1639
e 1639 515
e 515 976
e 976 763
e 763 211
e 211 695
e 695 1422
e 1422 1080
e 1080 761
e 761 1746
e 1746 114
e 114 1432
e 1432 1042
e 1042 1910
e 1910 1352
e 1352 2014
e 2014 1330
e 1330 1008
e 1008 972
e 972 1551
e 1551 541
e 541 981
e 981 834
e 834 278
e 278 1744
e 1744 260
e 260 420
e 420 1799
e 1799 1738
e 1738 207
e 207 1252
e 727 66
